parcel_id,install_year,energy_profile_id,uses_piped_gas,heating_fuel,hvac,domestic_hot_water,clothes_dryer,stove,weatherization,panel_upgrade
EX_001,2030,EX_PROFILE_4_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_002,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_003,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_004,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_005,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_006,2030,EX_PROFILE_4_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_007,2030,EX_PROFILE_2_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_008,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_009,2030,EX_PROFILE_2_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_010,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_011,2030,EX_PROFILE_1_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_012,2030,EX_PROFILE_2_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_013,2030,EX_PROFILE_1_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_014,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_015,2030,EX_PROFILE_4_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_016,2030,EX_PROFILE_2_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_017,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_018,2030,EX_PROFILE_2_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_019,2030,EX_PROFILE_1_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
EX_020,2030,EX_PROFILE_3_gshp,0,Electricity,geothermal_heating_installation,heat_pump_water_heater,heat_pump_clothes_dryer,electric_stove,,
